               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095419,             0.02588,                   0,             0.46467,             0.24812,             0.30324,             0.11606,            0.064147,            0.012073,                   0,            0.070811,           0.0032432,           0.0032432
                   1,            0.066386,            0.019163,                   0,             0.36445,             0.45865,             0.36314,             0.13305,            0.066463,           0.0081894,                   0,            0.040746,           0.0065115,           0.0065115
                   2,            0.059774,            0.016409,                   0,             0.45096,             0.61654,             0.49344,               0.183,            0.054737,           0.0071508,                   0,            0.010615,           0.0097137,           0.0097137
                   3,            0.053204,            0.013508,                   0,             0.47114,             0.74436,             0.45991,               0.163,            0.052664,           0.0075332,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.047544,            0.011384,                   0,             0.80191,             0.82707,             0.84986,             0.39981,            0.040285,            0.007291,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.043225,            0.010168,                   0,             0.84465,             0.89937,              0.9341,             0.43115,            0.040196,           0.0058374,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.041437,           0.0098601,                   0,              0.8755,             0.93233,             0.92814,             0.51941,            0.037476,            0.005621,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.039004,           0.0091044,                   0,             0.91493,             0.93233,             0.95151,             0.55416,            0.036509,           0.0052609,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.038258,           0.0092121,                   0,             0.86956,             0.90225,             0.93388,             0.54443,            0.031607,           0.0054414,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.036617,           0.0088869,                   0,             0.89353,             0.93985,             0.94834,             0.49073,            0.038523,           0.0050781,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.035732,            0.008722,                   0,             0.88969,             0.88722,             0.89945,             0.42598,            0.038895,           0.0051409,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.03573,           0.0086713,                   0,             0.94283,             0.93233,             0.94538,              0.5467,            0.033495,           0.0051819,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.033411,           0.0087335,                   0,             0.93529,             0.93233,             0.95222,              0.5674,            0.029088,           0.0050187,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033186,           0.0083924,                   0,             0.90559,             0.92481,             0.95209,             0.54132,            0.035216,           0.0051699,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.033283,           0.0083322,                   0,             0.88724,             0.94737,             0.93918,              0.5407,            0.030192,           0.0047737,                   0,            0.008713,            0.008713,            0.008713
